PROVINCIA;Departamento;Localidad;FECHA;CONFIRMADOS;RECUPERADOS;FALLECIDOS;INTERNADOS;UTI;EN ESTUDIO;AISLADOS;ESTUDIADOS;DESCARTADOS
Santa Fe;TOTAL;;29/4/2020;243;136;2;;;;;;
Santa Fe;BELGRANO;Armstrong;29/4/2020;2;;;;;;;;
Santa Fe;BELGRANO;Las Parejas;29/4/2020;1;;;;;;;;
Santa Fe;BELGRANO;Las Rosas;29/4/2020;1;;;;;;;;
Santa Fe;CASEROS;Casilda;29/4/2020;2;;;;;;;;
Santa Fe;CASEROS;Chabas;29/4/2020;1;;;;;;;;
Santa Fe;CASTELLANOS;Rafaela;29/4/2020;21;;;;;;;;
Santa Fe;CONSTITUCION;Villa Constituci¢n;29/4/2020;9;;;;;;;;
Santa Fe;GARAY;Cayast†;29/4/2020;1;;;;;;;;
Santa Fe;GARAY;Helvecia;29/4/2020;2;;;;;;;;
Santa Fe;General Lopez;Elortondo;29/4/2020;4;;;;;;;;
Santa Fe;General Lopez;Firmat;29/4/2020;1;;;;;;;;
Santa Fe;General Lopez;Sancti Spiritu;29/4/2020;1;;;;;;;;
Santa Fe;General Lopez;Venado Tuerto;29/4/2020;12;;;;;;;;
Santa Fe;IRIONDO;Ca§ada de G¢mez;29/4/2020;1;;;;;;;;
Santa Fe;IRIONDO;Oliveros;29/4/2020;4;;;;;;;;
Santa Fe;IRIONDO;Pueblo Andino;29/4/2020;2;;;;;;;;
Santa Fe;LA CAPITAL;Llambi Campbell;29/4/2020;3;;;;;;;;
Santa Fe;LA CAPITAL;San JosÇ del Rinc¢n;29/4/2020;1;;;;;;;;
Santa Fe;LA CAPITAL;Santa Fe;29/4/2020;27;;;;;;;;
Santa Fe;LA CAPITAL;Santo TomÇ;29/4/2020;5;;;;;;;;
Santa Fe;LA CAPITAL;Sauce Viejo;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;Esperanza;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;Franck;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;Humboldt;29/4/2020;1;;;;;;;;
Santa Fe;LAS COLONIAS;San Carlos Sud;29/4/2020;1;;;;;;;;
Santa Fe;ROSARIO;Arroyo Seco;29/4/2020;2;;;;;;;;
Santa Fe;ROSARIO;Funes;29/4/2020;5;;;;;;;;
Santa Fe;ROSARIO;Granadero Baigorria;29/4/2020;2;;;;;;;;
Santa Fe;ROSARIO;Rosario;29/4/2020;98;;;;;;;;
Santa Fe;ROSARIO;Villa Gobernador G†lvez;29/4/2020;2;;;;;;;;
Santa Fe;SAN JAVIER;San Javier;29/4/2020;1;;;;;;;;
Santa Fe;SAN JERONIMO;G†lvez;29/4/2020;9;;;;;;;;
Santa Fe;SAN JERONIMO;San Genaro;29/4/2020;1;;;;;;;;
Santa Fe;SAN LORENZO;Capit†n Berm£dez;29/4/2020;1;;;;;;;;
Santa Fe;SAN LORENZO;Fray Luis Beltr†n;29/4/2020;3;;;;;;;;
Santa Fe;SAN LORENZO;Pujato;29/4/2020;2;;;;;;;;
Santa Fe;SAN LORENZO;Rold†n;29/4/2020;6;;;;;;;;
Santa Fe;SAN LORENZO;San Lorenzo;29/4/2020;3;;;;;;;;
Santa Fe;VERA;Vera;29/4/2020;1;;;;;;;;
Salta;CAPITAL;Salta;29/4/2020;4;;;;;;;;
R°o Negro;;San Carlos de Bariloche;29/4/2020;75;;;;;;;;
R°o Negro;;Cipolletti;29/4/2020;15;;;;;;;;
R°o Negro;;Choele Choel;29/4/2020;40;;;;;;;;
R°o Negro;;Allen;29/4/2020;8;;;;;;;;
R°o Negro;;Dina Huapi;29/4/2020;6;;;;;;;;
R°o Negro;;Catriel;29/4/2020;3;;;;;;;;
R°o Negro;;R°o Colorado;29/4/2020;2;;;;;;;;
R°o Negro;;Luis Beltr†n;29/4/2020;7;;;;;;;;
R°o Negro;;Coronel Belisle;29/4/2020;1;;;;;;;;
R°o Negro;;El Bols¢n;29/4/2020;2;;;;;;;;
R°o Negro;;Villa Regina;29/4/2020;5;;;;;;;;
R°o Negro;;General Conesa;29/4/2020;1;;;;;;;;
R°o Negro;;General Roca;29/4/2020;13;;;;;;;;
R°o Negro;;Viedma;29/4/2020;1;;;;;;;;
R°o Negro;;Cinco Saltos;29/4/2020;2;;;;;;;;
R°o Negro;;Lamarque;29/4/2020;20;;;;;;;;
R°o Negro;;Chimpay;29/4/2020;6;;;;;;;;
NeuquÇn;;LoncopuÇ;29/4/2020;34;;;;;;;;
NeuquÇn;;NeuquÇn;29/4/2020;34;;;;;;;;
