pais;poblacion
Afghanistan ;32593000
Albania;2851000
Algeria;43825000
Andorra;77000
Angola;30645000
Antigua and Barbuda;97000
Argentina;45167000
Armenia;2956000
Australia;25578000
Austria;8915000
Azerbaijan;10062000
Bahamas;387000
Bahrain;1581000
Bangladesh;179904000
Barbados;287000
Belarus;9456000
Belgium;11471000
Belize;414000
Benin;11922000
Bhutan;746000
Bolivia;11553000
Bosnia and Herzegovina;3297000
Botswana;2361000
Brazil;210688000
Brunei;454000
Bulgaria;6954000
Burkina Faso;21206000
Burundi;11111000
Cabo Verde;554000
Cambodia;15442000
Cameroon;24649000
Canada;37802000
Chad;15971000
Chile;19241000
China;1404959000
Chipre;885000
Ciudad del Vaticano;1000
Colombia;48922000
Comoros;885000
Corea del Norte;25517000
Costa Rica;5086000
Cote d'Ivoire;26154000
Croatia;4114000
Cuba;11198000
Dinamarca;5835000
Djibouti;1093000
Dominica;72000
Dominican Republic;10407000
Ecuador;17405000
Egypt;100027000
El Salvador;6736000
United Arab Emirates;9787000
Equatorial Guinea;1430000
Eritrea;3523000
Slovakia;5455000
Slovenia;2092000
Spain;47195000
United States of America;330641000
Eswatini;1328000
Ethiopia;99773000
Fiji;896000
Finland;5528000
France;64927000
Gabon;2201000
Gambia;2377000
Georgia;3722000
Germany;83241000
Ghana;30624000
Greece;10203000
Grenada;113000
Groenlandia(Dinamarca);56000
Guatemala;16921000
Guayana Francesa(Francia);300000
Guinea;12365000
Guinea-Bissau;1619000
Guyana;786000
Haiti;11663000
Honduras;9234000
Hong Kong(China);7562000
Hungary;9760000
Iceland;365000
India;1398496000
Indonesia;269856000
Iran;83375000
Iraq;39413000
Ireland;4968000
Islas Marshall;56000
Islas Salomón;691000
Israel;8991000
Italy;60316000
Jamaica;2726000
Japan;126127000
Jordan;10706000
Kazakhstan;18638000
Kenya;47899000
Kiribati;124000
Korea, South;51886000
Kosovo;1798000
Kuwait;4490000
Kyrgyzstan;6520000
Laos;7183000
Lebanon;1908000
Lesoto;2058000
Líbano;6665000
Liberia;4526000
Libya;6824000
Liechtenstein;39000
Lithuania;2794000
Luxembourg;627000
Madagascar;26957000
Malawi;18249000
Malaysia;33210000
Maldives;381000
Mali;20288000
Malta;511000
Mauricio;1268000
Mauritius;4124000
Mexico;127187000
Micronesia;105000
Moldova;2618000
Monaco;39000
Mongolia;3158000
Montenegro;623000
Morocco;35601000
Mozambique;28972000
Myanmar/Birmania;54339766
Namibia;2483000
Nauru;11000
Nepal;29811000
Netherlands;17384000
New Zealand;5025000
Nicaragua;6562000
Niger;22755000
Nigeria;209058000
North Macedonia;2079000
Norway;5366000
Oman;4679000
Pakistan;222017000
Palaos;18000
Palestina(en disputa con Israel);5041000
Panama;4250000
Papua New Guinea;8864000
Paraguay;7204000
Peru;32313000
Philippines;108879000
Poland;38391000
Portugal;10240000
Puerto Rico(Estados Unidos);3107000
Qatar;2768000
United Kingdom;67036000
República Árabe Saharaui Democrática(en disputa con Marruecos);590000
República Centroafricana;5558000
República Checa;10685000
República de China – Taiwán(China);23605000
República del Congo;5435000
República Democrática del Congo;88143000
Romania;19293000
Russia;146710000
Rwanda;12531000
Saint Kitts and Nevis;53000
Saint Lucia;183000
Saint Vincent and the Grenadines;111000
Samoa;202000
San Marino;34000
Sao Tome and Principe;209000
Saudi Arabia;34631000
Senegal;16459000
Serbia;6885000
Seychelles;98000
Sierra Leone;8029000
Singapore;5727000
Syria;17514000
Somalia;15703000
Sri Lanka;21870000
Suazilandia;1114000
South Africa;59263000
Sudan;43859000
South Sudan;13032000
Sweden;10333000
Switzerland;8608000
Suriname;584000
Thailand;68113000
Tanzania;56796000
Tajikistan;9327000
Timor-Leste;1408000
Togo;7642000
Tonga;100000
Trinidad and Tobago;1366000
Tunisia;11763000
Turkmenistán;5980000
Turkey;83215000
Tuvalu;10000
Ukraine;41909000
Uganda;40617000
Uruguay;3525000
Uzbekistan;33835000
Vanuatu;319000
Venezuela;32423000
Vietnam;97038000
Yemen;29431000
Zambia;17636000
Zimbabwe;15280000
